Object ID	File to include	Shape files
215	xx_reaperman.bin	 rpman_l0 rpman_l1 rpman_l2 rpman_l3 rpman_l4 rpman_l5 rpman_l6 rpman_l7
216	xx_smfemale.bin	 smf_l0 smf_l1 smf_l2 smf_l3 smf_l4 smf_l5 smf_l6
218	xx_ripper.bin	 ripnest
219	xx_ripper.bin	 mound
220	xx_ripper.bin	 dirt1
223	xx_birds.bin	 feather1
224	xx_reaperman.bin	 rpm_horn rpm_horn_l1 rpm_horn_l2 rpm_horn_l3 rpm_horn_l4
226	xx_ripper.bin	 ripnest_x
229	xx_ripper.bin	 ripper rip_l1 rip_l2 rip_l3 rip_l4 rip_l5 rip_l6
230	xx_ripper.bin	 ripper rip_l1 rip_l2 rip_l3 rip_l4 rip_l5 rip_l6
232	xx_ripper.bin	 ripspitbig
235	xx_smartie_stuff.bin	 sm_fork
236	xx_smartie_stuff.bin	 sm_knife
240	xx_reaperman.bin	 rpman_spear rpman_spear_l1 rpman_spear_l2 rpman_spear_l3 rpman_spear_l4
245	xx_plants.bin	 mcbush
247	xx_bridge.bin	 bridge_end
254	xx_mecc_flick.bin	 mcjetpack
254	xx_mecclev1.bin	 mcjetpack
254	xx_rpman_weapons.bin	 mcjetpack
256	xx_bridge.bin	 bridge_100ft
257	xx_bridge.bin	 bridge_200ft
258	xx_bridge.bin	 bridge_300ft
270	xx_bigwalls.bin	 bw_arch_100
271	xx_bigwalls.bin	 bw_arch_150
272	xx_bigwalls.bin	 bw_arch_200
273	xx_bigwalls.bin	 bw_corner
274	xx_bigwalls.bin	 bw_wall_100
275	xx_reaperman.bin	 rpman_tracer
276	xx_offspring.bin	 rpman_grenade rpman_grenade_l1
276	xx_reaperman.bin	 rpman_grenade rpman_grenade_l1
276	xx_seamonster.bin	 rpman_grenade rpman_grenade_l1
300	xx_mecc_flick.bin	 mc_machinegun_l0 mc_machinegun_l1 mc_machinegun_l2 mc_machinegun_l3 mc_machinegun_l4 mc_machinegun_l5
300	xx_mecclev1.bin	 mc_machinegun_l0 mc_machinegun_l1 mc_machinegun_l2 mc_machinegun_l3 mc_machinegun_l4 mc_machinegun_l5
300	xx_rpman_weapons.bin	 mc_machinegun_l0 mc_machinegun_l1 mc_machinegun_l2 mc_machinegun_l3 mc_machinegun_l4 mc_machinegun_l5
301	xx_mecc_flick.bin	 mc_grenade_l0 mc_grenade
301	xx_mecclev1.bin	 mc_grenade_l0 mc_grenade
301	xx_rpman_weapons.bin	 mc_grenade_l0 mc_grenade
302	xx_mecclev1.bin	 mc_shotgun_l0 mc_shotgun_l1 mc_shotgun_l2 mc_shotgun_l3 mc_shotgun_l4 mc_shotgun_l5
302	xx_rpman_weapons.bin	 mc_shotgun_l0 mc_shotgun_l1 mc_shotgun_l2 mc_shotgun_l3 mc_shotgun_l4 mc_shotgun_l5
303	xx_mecclev1.bin	 mc_machinegun_l0 mc_machinegun_l1 mc_machinegun_l2 mc_machinegun_l3 mc_machinegun_l4 mc_machinegun_l5
303	xx_rpman_weapons.bin	 mc_machinegun_l0 mc_machinegun_l1 mc_machinegun_l2 mc_machinegun_l3 mc_machinegun_l4 mc_machinegun_l5
311	xx_reaper_flick.bin	 rp_l3 rp_l4 rp_l5 rp_l6 rp_l7
311	xx_reaperlev1.bin	 rp_l7
312	xx_reaperlev1.bin	 rp_sword_trail
506	xx_smartie_stuff.bin	 sm_boat_l0
507	xx_smartie_stuff.bin	 sm_cart_l0
508	xx_smartie_stuff.bin	 sm_chimney_l0
509	xx_smartie_stuff.bin	 sm_dome_l0 sm_dome_l1 sm_dome_l2 sm_dome_l3 sm_dome_l4
510	xx_smartie_stuff.bin	 sm_domed1_l0
511	xx_smartie_stuff.bin	 sm_door_l0 sm_door_l1 sm_door_l2 sm_door_l3
512	xx_smartie_stuff.bin	 sm_fences_l0
513	xx_smartie_stuff.bin	 sm_seat_l0
514	xx_smartie_stuff.bin	 sm_table_l0
515	xx_smartie_stuff.bin	 sm_tower_l0
516	xx_smartie_stuff.bin	 sm_well_l0
517	xx_smartie_stuff.bin	 sm_window_l0 sm_window_l1 sm_window_l2
518	xx_smartie_stuff.bin	 sm_tube_l0 sm_tube_l1 sm_tube_l2
519	xx_smartie_stuff.bin	 sm_ladder_l0
520	xx_smartie_stuff.bin	 sm_fences2_l0
521	xx_smartie_stuff.bin	 sm_post_l0
522	xx_smartie_stuff.bin	 sm_hatch_l0
523	xx_smartie_stuff.bin	 sm_vconnect1
524	xx_smartie_stuff.bin	 sm_vconnect2
525	xx_smartie_stuff.bin	 sm_sphere sm_sphere_l1 sm_sphere_l2
527	xx_smartie_stuff.bin	 sm_sphere2
528	xx_bridge.bin	 bridge_400ft
529	xx_smartie_stuff.bin	 sm_spheredark sm_spheredark_l1 sm_spheredark_l2
530	xx_smartie_stuff.bin	 sm_spheredark2
531	xx_smartie_stuff.bin	 sm_post_tall
532	xx_bridge.bin	 bridge_500ft
533	xx_pier.bin	 pier_straight
534	xx_pier.bin	 pier_bend90
535	xx_pier.bin	 pier_round_rings
536	xx_pier.bin	 pier_round_tile
537	xx_pier.bin	 pier_square
538	xx_pier.bin	 pier_post20
539	xx_pier.bin	 pier_post30
540	xx_pier.bin	 pier_post40
541	xx_shadows.bin	 shadow_round
542	xx_shadows.bin	 shadow_elipse
543	xx_shadows.bin	 shadow_elipse2
544	xx_smartie_stuff.bin	 smw_entrance
545	xx_smartie_stuff.bin	 smw_curvehi
546	xx_smartie_stuff.bin	 smw_column
547	xx_smartie_stuff.bin	 smw_curvemed
548	xx_smartie_stuff.bin	 smw_curvelow
549	xx_smartie_stuff.bin	 smw_column2
550	xx_smartie_stuff.bin	 smw_cwall_low
551	xx_smartie_stuff.bin	 smw_wall_hi
552	xx_smartie_stuff.bin	 smw_wall_med
553	xx_smartie_stuff.bin	 smw_wall_hi_hole
555	xx_bigwalls.bin	 bw_gate_portcullis
556	xx_bigwalls.bin	 bw_wall_150
557	xx_bigwalls.bin	 bw_wall_200
558	xx_bigwalls.bin	 bw_parapit
558	xx_bigwalls_lite.bin	 bw_parapit
559	xx_bigwalls.bin	 bw_sr_arch_100
560	xx_bigwalls.bin	 bw_sr_corner
562	xx_verm.bin	 verm_l0 verm_l2 verm_l4 verm_l5 verm_l6 verm_l7
563	xx_pier.bin	 canopy_1
564	xx_pier.bin	 bent_post
565	xx_pier.bin	 pier_straight_80
566	xx_pier.bin	 pier_straight_160
567	xx_bigwalls.bin	 bw_column_20
567	xx_bigwalls_lite.bin	 bw_column_20
568	xx_bigwalls.bin	 bw_column_30
568	xx_bigwalls_lite.bin	 bw_column_30
569	xx_bigwalls.bin	 bw_column_40
569	xx_bigwalls_lite.bin	 bw_column_40
570	xx_bigwalls.bin	 bw_column_60
570	xx_bigwalls_lite.bin	 bw_column_60
571	xx_verm.bin	 verm_egg_l0
572	xx_verm.bin	 verm_l0 verm_l2 verm_l4 verm_l5 verm_l6 verm_l7
574	xx_charger.bin	 charger charger_l1 charger_l2 charger_l3 charger_l4 charger_l5 charger_l6
575	xx_sonak.bin	 sonak_l0 sonak_l1 sonak_l2 sonak_l3 sonak_l4 sonak_l5 sonak_l6
576	xx_verm.bin	 verm_egg_d1_l0
577	xx_verm.bin	 verm_eggshell1
578	xx_bigwalls.bin	 bw_bunker1
579	xx_bigwalls.bin	 bw_top_platform
580	xx_bigwalls.bin	 bw_top_connect1
583	xx_smtimmy.bin	 smtimmy_l0 smtimmy_l1 smtimmy_l2 smtimmy_l3 smtimmy_l4 smtimmy_l5 smtimmy_l6
583	xx_smtimmy_flick.bin	 smtimmy_l0
584	xx_smborjoyzee.bin	 smborjoyzee_l0 smborjoyzee_l1 smborjoyzee_l2 smborjoyzee_l3 smborjoyzee_l4 smborjoyzee_l5 smborjoyzee_l6
584	xx_smborjoyzee_flick.bin	 smborjoyzee_l0 sm_l7
586	xx_sonak.bin	 sonak_seat_l0
587	xx_bigwalls.bin	 bw_wall_100_window
588	xx_bigwalls.bin	 bw_bunker_low
589	xx_smartie_stuff.bin	 smw_curvehi_m
590	xx_smartie_stuff.bin	 smw_house1 smw_house1_l1 smw_house1_l2 smw_house1_l3 smw_house1_l4
591	xx_smartie_stuff.bin	 smw_house2 smw_house2_l1 smw_house2_l2 smw_house2_l3 smw_house2_l4
592	xx_smartie_stuff.bin	 smw_house3 smw_house3_l1 smw_house3_l2 smw_house3_l3 smw_house3_l4
593	xx_smartie_stuff.bin	 smw_house4 smw_house4_l1 smw_house4_l2 smw_house4_l3 smw_house4_l4
594	xx_smartie_stuff.bin	 smw_curvemed_m
595	xx_smartie_stuff.bin	 smw_curvelow_m
596	xx_smartie_stuff.bin	 sm_canopy_1_blue
597	xx_smartie_stuff.bin	 sm_canopy_1_red
598	xx_smartie_stuff.bin	 sm_canopy_1_green
599	xx_smartie_stuff.bin	 sm_panel
601	xx_bigwalls.bin	 bw_sr_arch_150
602	xx_bigwalls.bin	 bw_sr_arch_200
606	xx_smartie_stuff.bin	 sm_raft_l0
607	xx_sonak.bin	 sonak_ring
609	xx_ptree.bin	 ptree_simple
610	xx_reaperman.bin	 rpman_tracer
611	xx_bigwalls.bin	 bw_debri_piece1
611	xx_bigwalls_lite.bin	 bw_debri_piece1
612	xx_bigwalls.bin	 bw_debri_piece2
612	xx_bigwalls_lite.bin	 bw_debri_piece2
613	xx_bigwalls.bin	 bw_debri_piece3
613	xx_bigwalls_lite.bin	 bw_debri_piece3
614	xx_bigwalls.bin	 bw_debri_piece4
614	xx_bigwalls_lite.bin	 bw_debri_piece4
615	xx_bigwalls.bin	 bw_debri_column1
615	xx_bigwalls_lite.bin	 bw_debri_column1
616	xx_bigwalls.bin	 bw_debri_column2
616	xx_bigwalls_lite.bin	 bw_debri_column2
617	xx_bigwalls.bin	 bw_debri_bunker1
617	xx_bigwalls_lite.bin	 bw_debri_bunker1
618	xx_shadows.bin	 shadow_blastmark_1
619	xx_shadows.bin	 shadow_blastmark_2
620	xx_effects.bin	 dust_ring
621	xx_effects.bin	 water_spray
622	xx_effects.bin	 dust_blast
623	xx_mecc_base.bin	 muzzle_flash
623	xx_reaper_base.bin	 muzzle_flash
623	xx_reaperman.bin	 muzzle_flash
625	xx_reaperman.bin	 rpman_gunseat_l0
627	xx_mecc_base.bin	 muzzle_flash2
627	xx_reaper_base.bin	 muzzle_flash2
627	xx_reaperman.bin	 muzzle_flash2
628	xx_effects.bin	 dust_flash
646	xx_effects.bin	 shrap_ground
647	xx_mecclev1.bin	 mc_pickup_shells
647	xx_rpman_weapons.bin	 mc_pickup_shells
648	xx_mecclev1.bin	 mc_pickup_clips
648	xx_rpman_weapons.bin	 mc_pickup_clips
649	xx_mecclev1.bin	 mc_pickup_health
649	xx_rpman_weapons.bin	 mc_pickup_health
650	xx_mecclev1.bin	 mc_pickup_grenades
650	xx_rpman_weapons.bin	 mc_pickup_grenades
651	xx_mecclev1.bin	 mcbush
651	xx_rpman_weapons.bin	 mcbush
652	xx_bigwalls.bin	 bw_bunker1_d1
652	xx_bigwalls_lite.bin	 bw_bunker1_d1
653	xx_bigwalls.bin	 bw_bunker_top
654	xx_bigwalls.bin	 bw_bunker_low_d1
654	xx_bigwalls_lite.bin	 bw_bunker_low_d1
655	xx_bigwalls.bin	 bw_column_20_d1
655	xx_bigwalls_lite.bin	 bw_column_20_d1
656	xx_bigwalls.bin	 bw_column_30_d1
656	xx_bigwalls_lite.bin	 bw_column_30_d1
657	xx_bigwalls.bin	 bw_column_40_d1
657	xx_bigwalls_lite.bin	 bw_column_40_d1
658	xx_bigwalls.bin	 bw_column_60_d1
658	xx_bigwalls_lite.bin	 bw_column_60_d1
659	xx_bigwalls.bin	 bw_parapit_d1
659	xx_bigwalls_lite.bin	 bw_parapit_d1
660	xx_mecc_flick.bin	 mc_machinegun_shell
660	xx_mecclev1.bin	 mc_machinegun_shell
660	xx_rpman_weapons.bin	 mc_machinegun_shell
662	xx_guard_buildings.bin	 muzzle_flash
662	xx_guard_turrets.bin	 muzzle_flash
662	xx_mecc_base.bin	 muzzle_flash
662	xx_mecc_flick.bin	 muzzle_flash
662	xx_mecclev1.bin	 muzzle_flash
662	xx_reaper_base.bin	 muzzle_flash
662	xx_rpman_weapons.bin	 muzzle_flash
663	xx_guard_buildings.bin	 muzzle_flash2
663	xx_guard_turrets.bin	 muzzle_flash2
663	xx_mecc_base.bin	 muzzle_flash2
663	xx_mecc_flick.bin	 muzzle_flash2
663	xx_mecclev1.bin	 muzzle_flash2
663	xx_reaper_base.bin	 muzzle_flash2
663	xx_rpman_weapons.bin	 muzzle_flash2
664	xx_ptree.bin	 ptree_bob_d1
665	xx_smborjoyzee.bin	 sm_staff
665	xx_smborjoyzee_flick.bin	 sm_staff
666	xx_rpqueen.bin	 rpqueen_l0 rpqueen_l1 rpqueen_l2 rpqueen_l3 rpqueen_l4 rpqueen_l5 rpqueen_l6 rpqueen_l7
666	xx_rpqueen_flick.bin	 rpqueen_l0
667	xx_mecc_flick.bin	 blast_ring
667	xx_mecclev1.bin	 blast_ring
667	xx_rpman_weapons.bin	 blast_ring
668	xx_mecc_flick.bin	 mc_shotgun_blast
668	xx_mecclev1.bin	 mc_shotgun_blast
668	xx_rpman_weapons.bin	 mc_shotgun_blast
669	xx_raik.bin	 rp_sword rp_sword_l1 rp_sword_l2 rp_sword_l3 rp_sword_l4 rp_sword_l5
669	xx_reaper_flick.bin	 rp_sword rp_sword_l1 rp_sword_l2 rp_sword_l3 rp_sword_l4 rp_sword_l5
669	xx_reaperlev1.bin	 rp_sword rp_sword_l1 rp_sword_l2 rp_sword_l3 rp_sword_l4 rp_sword_l5
670	xx_smartie_stuff.bin	 sm_borj_house_l0 sm_borj_house_l1 sm_borj_house_l2 sm_borj_house_l3 sm_borj_house_l4 sm_borj_house_l5 sm_borj_house_l6
671	xx_effects.bin	 dust_ball
672	xx_effects.bin	 dust_smoke
677	xx_kab_stuff.bin	 mud_ball
678	xx_kab_stuff.bin	 hot_rock
679	xx_markers.bin	 marker
680	xx_rocks.bin	 rock_rpman_1
681	xx_rocks.bin	 rock_rpman_2
682	xx_kab_stuff.bin	 hot_rock_d
683	xx_guard_log_launcher.bin	 log_carrier
685	xx_permanentaliens.bin	 cleaner_l0 cleaner_l1 cleaner_l2
686	xx_guard_barracks.bin	 barracks barracks_l1 barracks_l2 barracks_l3 barracks_l4 barracks_l5
687	xx_rocks.bin	 rock_rpman_3
688	xx_guard_log_launcher.bin	 log_launcher
689	xx_guard_log_launcher.bin	 log_launcher_base
690	xx_birds.bin	 hitcher
693	xx_reaperman.bin	 rpman_tuba rpman_tuba_l1 rpman_tuba_l2 rpman_tuba_l3 rpman_tuba_l4
696	xx_effects.bin	 cast_spell
697	xx_effects.bin	 rain
702	xx_reaperlev1.bin	 rpbomb
705	xx_bridge.bin	 bridge_200ft_d
706	xx_bigwalls.bin	 bw_column_40_b
706	xx_bigwalls_lite.bin	 bw_column_40_b
707	xx_smartie_stuff.bin	 apple
709	xx_mecc_base.bin	 wood_wall wood_wall_l1 wood_wall_l2 wood_wall_l3
710	xx_mecc_base.bin	 wood_gift wood_gift_l1 wood_gift_l2 wood_gift_l3 wood_gift_l4 wood_gift_l5 wood_gift_l6
711	xx_mecc_base.bin	 wood_pub wood_pub_l1 wood_pub_l2 wood_pub_l3 wood_pub_l4 wood_pub_l5 wood_pub_l6
712	xx_mecc_base.bin	 wood_shop wood_shop_l1 wood_shop_l2 wood_shop_l3 wood_shop_l4 wood_shop_l5 wood_shop_l6
714	xx_mecc_base.bin	 stone_wall stone_wall_l1 stone_wall_l2 stone_wall_l3 stone_wall_l4
716	xx_mecc_base.bin	 stone_gift stone_gift_l1 stone_gift_l2 stone_gift_l3 stone_gift_l4 stone_gift_l5 stone_gift_l6
717	xx_mecc_base.bin	 stone_shop stone_shop_l1 stone_shop_l2 stone_shop_l3 stone_shop_l4 stone_shop_l5 stone_shop_l6
729	xx_reaper_base.bin	 extractor_1 extractor_1_l1 extractor_1_l2 extractor_1_l3 extractor_1_l4 extractor_1_l5 extractor_1_l6
730	xx_reaper_base.bin	 extractor_2 extractor_2_l1 extractor_2_l2 extractor_2_l3 extractor_2_l4 extractor_2_l5 extractor_2_l6
735	xx_reaper_base.bin	 spellshop_1 spellshop_1_l1 spellshop_1_l2 spellshop_1_l3 spellshop_1_l4 spellshop_1_l5 spellshop_1_l6
736	xx_reaper_base.bin	 spellshop_2 spellshop_2_l1 spellshop_2_l2 spellshop_2_l3 spellshop_2_l4 spellshop_2_l5 spellshop_2_l6
742	xx_smyan.bin	 smyan_l0 smyan_l1 smyan_l2 smyan_l3 smyan_l4 smyan_l5 smyan_l6
742	xx_smyan_flick.bin	 smyan_l0
744	xx_mecc_base.bin	 wood_gate wood_gate_l1 wood_gate_l2 wood_gate_l3 wood_gate_l4
745	xx_offspring.bin	 offspring_l0 offspring_l1 offspring_l2 offspring_l3 offspring_l4 offspring_l5 offspring_l6
746	xx_offspring.bin	 offspring_egg_l0
747	xx_offspring.bin	 offspring_egg_d1_l0
748	xx_offspring.bin	 offspring_eggshell1
749	xx_kabutolev1.bin	 kb_hotspot
750	xx_mecc_base.bin	 sm_firepit
752	xx_smartie_stuff.bin	 sm_table_full
753	xx_smartie_stuff.bin	 sm_shovel
754	xx_smartie_stuff.bin	 sm_tankard
755	xx_smartie_stuff.bin	 sm_hammer
756	xx_smartie_stuff.bin	 sm_saw
757	xx_smartie_stuff.bin	 sm_drumstick
758	xx_smartie_stuff.bin	 sm_ribs
759	xx_smartie_stuff.bin	 sm_pool
761	xx_smartie_stuff.bin	 sm_planks
762	xx_smartie_stuff.bin	 sm_woodshop_pile
763	xx_mecc_base.bin	 d_wood_shop d_wood_shop_l1 d_wood_shop_l2 d_wood_shop_l3 d_wood_shop_l4
764	xx_mecc_base.bin	 d_stone_gift d_stone_gift_l1 d_stone_gift_l2 d_stone_gift_l3 d_stone_gift_l4
765	xx_mecc_base.bin	 d_stone_shop d_stone_shop_l1 d_stone_shop_l2 d_stone_shop_l3 d_stone_shop_l4
768	xx_mecc_base.bin	 d_wood_gift d_wood_gift_l1 d_wood_gift_l2 d_wood_gift_l3 d_wood_gift_l4
769	xx_mecc_base.bin	 d_wood_wall d_wood_wall_l1 d_wood_wall_l2
771	xx_mecc_base.bin	 d_stone_wall d_stone_wall_l1 d_stone_wall_l2
772	xx_mecc_base.bin	 d_wood_gate d_wood_gate_l1 d_wood_gate_l2
773	xx_mecc_base.bin	 d_stone_gate d_stone_gate_l1 d_stone_gate_l2
775	xx_mecc_base.bin	 stone_gate stone_gate_l1 stone_gate_l2 stone_gate_l3 stone_gate_l4
779	xx_mecc_base.bin	 d_wood_pub d_wood_pub_l1 d_wood_pub_l2 d_wood_pub_l3 d_wood_pub_l4
781	xx_mecclev1.bin	 mcthrust_nitro
781	xx_rpman_weapons.bin	 mcthrust_nitro
782	xx_smartie_stuff.bin	 sm_bricks
783	xx_smartie_stuff.bin	 sm_metal
785	xx_mecc_flick.bin	 mc_launcher_l0 mc_launcher_l1 mc_launcher_l2 mc_launcher_l3 mc_launcher_l4 mc_launcher_l5
785	xx_mecclev1.bin	 mc_launcher_l0 mc_launcher_l1 mc_launcher_l2 mc_launcher_l3 mc_launcher_l4 mc_launcher_l5
785	xx_rpman_weapons.bin	 mc_launcher_l0 mc_launcher_l1 mc_launcher_l2 mc_launcher_l3 mc_launcher_l4 mc_launcher_l5
787	xx_mecc_flick.bin	 mc_snipergun_l0 mc_snipergun_l1 mc_snipergun_l2 mc_snipergun_l3 mc_snipergun_l4 mc_snipergun_l5
787	xx_mecclev1.bin	 mc_snipergun_l0 mc_snipergun_l1 mc_snipergun_l2 mc_snipergun_l3 mc_snipergun_l4 mc_snipergun_l5
787	xx_rpman_weapons.bin	 mc_snipergun_l0 mc_snipergun_l1 mc_snipergun_l2 mc_snipergun_l3 mc_snipergun_l4 mc_snipergun_l5
788	xx_sm_book.bin	 sm_book
788	xx_smartie_stuff.bin	 sm_book
788	xx_smyan_pagoda.bin	 sm_book
790	xx_mecc_flick.bin	 mc_mortar_l0 mc_mortar_l1 mc_mortar_l2 mc_mortar_l3 mc_mortar_l4 mc_mortar_l5
790	xx_mecclev1.bin	 mc_mortar_l0 mc_mortar_l1 mc_mortar_l2 mc_mortar_l3 mc_mortar_l4 mc_mortar_l5
790	xx_rpman_weapons.bin	 mc_mortar_l0 mc_mortar_l1 mc_mortar_l2 mc_mortar_l3 mc_mortar_l4 mc_mortar_l5
792	xx_mecclev1.bin	 mc_pickup_sn_clips
792	xx_rpman_weapons.bin	 mc_pickup_sn_clips
793	xx_mecclev1.bin	 mc_sniper_bullit
793	xx_rpman_weapons.bin	 mc_sniper_bullit
794	xx_efx.bin	 efx_flash
796	xx_efx.bin	 efx_debri1
797	xx_efx.bin	 efx_debri2
798	xx_efx.bin	 efx_fireball
799	xx_efx.bin	 efx_shockwave
800	xx_mecc_flick.bin	 mc_rocket
800	xx_mecclev1.bin	 mc_rocket
800	xx_rpman_weapons.bin	 mc_rocket
801	xx_mecclev1.bin	 mc_pickup_rockets
801	xx_rpman_weapons.bin	 mc_pickup_rockets
802	xx_mecclev1.bin	 mc_pickup_lbombs
802	xx_rpman_weapons.bin	 mc_pickup_lbombs
803	xx_mecc_flick.bin	 mc_rocket_proximity
803	xx_mecclev1.bin	 mc_rocket_proximity
803	xx_rpman_weapons.bin	 mc_rocket_proximity
804	xx_mecclev1.bin	 mc_pickup_proximity
804	xx_rpman_weapons.bin	 mc_pickup_proximity
805	xx_mecc_flick.bin	 mc_mine
805	xx_mecclev1.bin	 mc_mine mc_mine_l1 mc_mine_l2 mc_mine_l3 mc_mine_l4
